職缺內容,公司名稱,內容,地址,薪資,網址
(大數據)零售研究員(Python),東方線上股份有限公司,"1.主要工作：零售通路商品研究以及銷售研究，進而資料整理並進行大數據分析，需要有良好且熟稔的統計技巧，並且熟悉消費市場與行銷促銷手法。
2.次要工作：資料庫研究、專案市場調查，如質量化調查，撰寫分析報告。
3.其餘主管交辦事宜",台北市大安區,"月薪35,000~42,000元",//www.104.com.tw/job/3o5cn?jobsource=jolist_c_relevance
python工程師,鈦度科技有限公司,"1. 開發網站(如Django framework) 
2. 系統串連，如以SQLAlchemy連結Relational Database (SQL Server)
3. 需熟悉OOP及MVC觀念及運用。 
4.  開發Restful API。 
5. 熟悉版本控制及testing技術。",台北市內湖區,"年薪750,000~800,000元",//www.104.com.tw/job/6xglu?jobsource=jolist_c_relevance
[高雄] Python Web Back-End Engineer/ Full-Stack Engineer 後端/全端開發工程師,Linker Networks Inc._美商寶蘊凌科網路科技有限公司台灣分公司," use python/django to build the web app that managing the AI engines. You're welcome to work as a fullstack engineer, our",高雄市前鎮區,待遇面議,//www.104.com.tw/job/75ae4?jobsource=jolist_c_relevance
Python程式設計師,前進國際股份有限公司,HIS產品開發,台南市新市區,待遇面議,//www.104.com.tw/job/6a9r4?jobsource=jolist_c_relevance
Python Web Back-End Engineer/ Full-Stack Engineer 後端/全端開發工程師,Linker Networks Inc._美商寶蘊凌科網路科技有限公司台灣分公司," use python/django to build the web app that managing the AI engines. You're welcome to work as a fullstack engineer, our",台北市大安區,待遇面議,//www.104.com.tw/job/73xzq?jobsource=jolist_c_relevance
Python 後端工程師,蓋特資訊系統股份有限公司,"Requirements：

1. 數據採集與清洗，內容包含ETL與爬蟲且需要對數據質量管控（準確性、完整性、一致性、有效性）。
2. 系統測試與程式測試，內容包含服務的整個生命週期的測試（需要white box/白箱/白盒測試、數據測試、專項測試輸出、效果評測、web佈署、服務上線後的監控）。
3. 有基本的DB知識，需要能使用RDB與常見的NoSQL DB。
4. 有自動化測試經驗（使用語言不限）。

其中1.和2.至少有其中一項能夠滿足條件。

Nice to have：
* 熟悉分散式工具或架構，如Flume, Scribe, Kafka, Hadoop, Spark。
* 能夠優化DB效能者佳，DB因為種類繁多，可針對幾種說明優化和使用經驗。
* 熟悉標注軟體，因為有可能要協協助自動化標籤。
* 能設計或規劃測試流程和方法，熟悉多樣測試平台或測試工具為佳（例如：QTP, Selenium, Appium, Jmeter, Aion, Applitools, Appvance IQ, Test.ai, Eggplant, Mabl, ReTest, Sauce Labs....）。",台北市中正區,"月薪50,000元以上",//www.104.com.tw/job/6vdrl?jobsource=jolist_c_relevance
軟體工程師(Python或C++或Linux三年以上經驗者),萬潤科技股份有限公司,"1.具Python或C++或Linux三年以上經驗者。
2.具ROS的開發經驗優。",高雄市路竹區,待遇面議,//www.104.com.tw/job/72xkz?jobsource=jolist_c_relevance
(Big Data Team) Python Backend Engineer,伊諾科技有限公司,"我們期待您在加入伊諾後，不會只想安逸的當一個只召喚爬蟲的 Python 攻城獅，而是渴望挑戰以前沒做過的各種任務。在工作中學習，經由學習來完成任務，藉由完成任務的經驗來造就大神。

當公司業務需要資料來支持時，開發團隊會希望 Python 工",台北市內湖區,待遇面議,//www.104.com.tw/job/6ucvg?jobsource=jolist_c_relevance
【IE】系統開發工程師 (Python),日月光半導體製造股份有限公司中壢分公司,"1、客製化系統開發
2、專案改善(CIM專案、成本改善專案、製程改善專案)
3、擁有Python開發經驗",桃園市中壢區,"月薪37,000~100,000元",//www.104.com.tw/job/4lz48?jobsource=jolist_c_relevance
[派遣至外商軟體龍頭] Manufacturing Diag Developer/Python Developer - Python工程師 - 105SL,萬寶華企業管理顧問股份有限公司," for mfg test.


Qualification
• 3+ years of demonstrated experience in .NET framework, C#, Python with component extensions",新北市板橋區,待遇面議,//www.104.com.tw/job/6ryg7?jobsource=jolist_c_relevance
軟體工程師 (Python),美商連科股份有限公司,"待遇：7萬~10.5萬 * 14個月
職缺：Python Developer 1人

Join us in building the best e-commerce SaaS platform to revolutionize how",台北市內湖區,"月薪70,000~105,000元",//www.104.com.tw/job/5t1rj?jobsource=jolist_c_relevance
[台南] Python Web Back-End Engineer/ Full-Stack Engineer 後端/全端開發工程師,Linker Networks Inc._美商寶蘊凌科網路科技有限公司台灣分公司," use python/django to build the web app that managing the AI engines. You're welcome to work as a fullstack engineer, our",台南市中西區,待遇面議,//www.104.com.tw/job/74tq5?jobsource=jolist_c_relevance
Python programmer/data scientist for quantitative trading,中塑油品股份有限公司,"Python programmer/data scientist for quantitative trading
Seeking junior multi-asset strategist/developer/data scientist",台北市內湖區,待遇面議,//www.104.com.tw/job/70dmc?jobsource=jolist_c_relevance
IT職務類 (實習 Intern): Python programming (一周至少3天) (竹科),"Synopsys Taiwan Co., Ltd._台灣新思科技股份有限公司"," with Python, C#, or Java.
2.    Web, server-side, or database access programming skills under Linux working environment is a",新竹市,時薪160元以上,//www.104.com.tw/job/6yi9b?jobsource=jolist_c_relevance
資深Python 後端工程師,環球誠信有限公司,"1. 負責平台後端開發、維護及優化。
2. 負責平台與第三方服務之串接。
3. 熟悉RESTful API使用。
4. 具備Python使用經驗。
5. 具備MySQL使用經驗。
6. 具備Git/Gitflow操作，包含branch、",高雄市鼓山區,"月薪65,000~85,000元",//www.104.com.tw/job/77uyp?jobsource=jolist_c_relevance
"軟體 工程師 (Java, Python, LabVIEW) - 台北或新竹",動力安全資訊股份有限公司,"[About the Job]
IoT物連網是甚麼？智慧建築(Smart Building)、智慧製造(Smart Factory)、智慧機房(Smart Data Center)等熱門新興產業，到底在做甚麼？在動力安全，你將會找到答案。

在動力安全，我們帶領企業客戶邁向以軟體整合應用(Software Defined)為基礎的智慧化轉型（智慧建築、智慧機房、智慧製造、物聯網與工業4.0）。協助客戶提高安全與效率，增強在國際上的競爭能力。若你對智慧產業及IoT物連網有興趣，以及對寫軟體程式、學習新技術充滿熱忱，歡迎你加入動力安全的行列。

[Role and Responsibilities]  
- 設計開發智慧化的應用軟體系統
- 編寫軟體規格文件，測試計劃等
- 需與其它部門協同合作",台北市內湖區,"月薪32,000元以上",//www.104.com.tw/job/44234?jobsource=jolist_c_relevance
網站開發全端工程師 (Python),台灣智園有限公司," Python 為主，JAVA, NodeJS 為輔
   b. Javascript ES6, Angularjs, Vue 以及 CSS 開發前端 UI Presentation Layer
   c. MySQL 資料庫管理
   d. 曾接觸",新北市永和區,待遇面議,//www.104.com.tw/job/43gvt?jobsource=jolist_c_relevance
IT職務類 (實習 Intern): Python programming (一周至少3天) (竹科),"Synopsys Taiwan Co., Ltd._台灣新思科技股份有限公司"," with Python, C#, or Java.
2.    Web, server-side, or database access programming skills under Linux working environment is a",新竹市,時薪160元以上,//www.104.com.tw/job/6yi9b?jobsource=jolist_b_relevance
Python系統工程師,移動商務股份有限公司,【Job Description】,台北市南港區,待遇面議,//www.104.com.tw/job/6svc5?jobsource=jolist_b_relevance
Python 後端工程師,蓋特資訊系統股份有限公司,"Requirements：

1. 數據採集與清洗，內容包含ETL與爬蟲且需要對數據質量管控（準確性、完整性、一致性、有效性）。
2. 系統測試與程式測試，內容包含服務的整個生命週期的測試（需要white box/白箱/白盒測試、數據測試、專項測試輸出、效果評測、web佈署、服務上線後的監控）。
3. 有基本的DB知識，需要能使用RDB與常見的NoSQL DB。
4. 有自動化測試經驗（使用語言不限）。

其中1.和2.至少有其中一項能夠滿足條件。

Nice to have：
* 熟悉分散式工具或架構，如Flume, Scribe, Kafka, Hadoop, Spark。
* 能夠優化DB效能者佳，DB因為種類繁多，可針對幾種說明優化和使用經驗。
* 熟悉標注軟體，因為有可能要協協助自動化標籤。
* 能設計或規劃測試流程和方法，熟悉多樣測試平台或測試工具為佳（例如：QTP, Selenium, Appium, Jmeter, Aion, Applitools, Appvance IQ, Test.ai, Eggplant, Mabl, ReTest, Sauce Labs....）。",台北市中正區,"月薪50,000元以上",//www.104.com.tw/job/6vdrl?jobsource=jolist_b_relevance
安卓Embedded automation with Python(週休二日不需輪班),台灣愛渠西來技術股份有限公司," git/Pull Requests
•	Strong Programming experience on Python
•	Experience in Embedded Linux Environment.
＊ working permit and",新北市板橋區,"年薪800,000~1,500,000元",//www.104.com.tw/job/792ml?jobsource=jolist_b_relevance
軟體工程師 (Python),美商連科股份有限公司,"待遇：7萬~10.5萬 * 14個月
職缺：Python Developer 1人

Join us in building the best e-commerce SaaS platform to revolutionize how",台北市內湖區,"月薪70,000~105,000元",//www.104.com.tw/job/5t1rj?jobsource=jolist_b_relevance
新創電商Backend Engineer (Python),霖園關係企業_神坊資訊股份有限公司," experience with Python applications in production.
●     1+ years experience with HTML5, CSS, and JavaScript.
●     Experience with",台北市信義區,待遇面議,//www.104.com.tw/job/7aenr?jobsource=jolist_b_relevance
Python軟體工程師 (Acoustics)(派駐海外),鴻海集團_英屬開曼群島商鴻騰精密科技股份有限公司台灣分公司,"1.廠測程式開發，問題排除，整體效能優化
2.On Site協助工廠完成生產測試程式驗證及導入
3.開發Lab自動化測試腳本
4.與產線人員協力解決程式bug及更新
5.撰寫測試程式說明文件",新北市土城區,待遇面議,//www.104.com.tw/job/7a7hl?jobsource=jolist_b_relevance
【 2021軟體技術人才招募】Python 工程師,緯創軟體股份有限公司,"【１年以上軟體相關經驗者，歡迎投遞！】

【職缺內容】
1. Developing backend services 
2. Design, maintain and scale our distributed infrastructure
3. Propose new ways and technologies for automation

【主要產業】
銀行/保險/證券/半導體/面板/電子/通訊業...等系統開發

【工作地點】
新竹或台北

【薪資】
面議(依經驗與能力核薪)

緯創軟體是台灣唯一專注於全球交付的資訊服務上櫃公司。因應業績不斷成長，需要大量人才加入國際軟體開發團隊。

因專案眾多，將根據您產業經驗、技術程度、專長類別、與期待工作地點，於面試時詳談工作內容與機會，錄取後即為緯創軟體正職人員，歡迎有經驗者加入我們這個大家庭~",新北市汐止區,待遇面議,//www.104.com.tw/job/69za2?jobsource=jolist_b_relevance
軟體工程師(Python或C++或Linux三年以上經驗者),萬潤科技股份有限公司,"1.具Python或C++或Linux三年以上經驗者。
2.具ROS的開發經驗優。",高雄市路竹區,待遇面議,//www.104.com.tw/job/72xkz?jobsource=jolist_b_relevance
Python程式設計師,前進國際股份有限公司,HIS產品開發,台南市新市區,待遇面議,//www.104.com.tw/job/6a9r4?jobsource=jolist_b_relevance
副軟體工程師 (Python),美商連科股份有限公司,"待遇：6萬~7.5萬 * 14個月
職缺：Python Developer 1人

Join us in building the best e-commerce SaaS platform to revolutionize how",台北市內湖區,"月薪60,000~75,000元",//www.104.com.tw/job/79qh7?jobsource=jolist_b_relevance
Python Web Back-End Engineer/ Full-Stack Engineer 後端/全端開發工程師,Linker Networks Inc._美商寶蘊凌科網路科技有限公司台灣分公司," use python/django to build the web app that managing the AI engines. You're welcome to work as a fullstack engineer, our",台北市大安區,待遇面議,//www.104.com.tw/job/73xzq?jobsource=jolist_b_relevance
Python工程師  (中和辦公室),昇銳電子股份有限公司,"1.應用程式開發
2.後台系統建置開發
3.網路爬蟲
4.GCP/AWS API串接
5.與前端工程師、UI/UX人員溝通協調",新北市中和區,待遇面議,//www.104.com.tw/job/6zloe?jobsource=jolist_b_relevance
Python程式設計師(副理),綠界科技股份有限公司,收銀台專案相關應用程式開發、維護、管理。,台北市南港區,待遇面議,//www.104.com.tw/job/6yyb2?jobsource=jolist_b_relevance
資深軟體工程師 (Python),美商連科股份有限公司,"待遇：9萬~13.5萬 * 14個月
職缺：Senior Python Developer 1人 (Fullstack or Platform)

Join us in building the best e-commerce SaaS",台北市內湖區,"月薪90,000~135,000元",//www.104.com.tw/job/5p5ft?jobsource=jolist_b_relevance
[高雄] Python Web Back-End Engineer/ Full-Stack Engineer 後端/全端開發工程師,Linker Networks Inc._美商寶蘊凌科網路科技有限公司台灣分公司," use python/django to build the web app that managing the AI engines. You're welcome to work as a fullstack engineer, our",高雄市前鎮區,待遇面議,//www.104.com.tw/job/75ae4?jobsource=jolist_b_relevance
資深後端 Python 工程師 - UrMart | 早餐吃麥片,早餐吃麥片_饌元有限公司,"我們正在尋找擁有對技術與商業有同等熱誠，認為用戶體驗至上的後端工程師。你擁有1 年以上的軟體開發經驗，你的職責會是與技術團隊開發能幫助 公司業務 與 使用者體驗滿意度 成長的新功能，幫助我們獲得更多用戶與回購率，甚至是透過開發內部工具改善團隊的工作流程與效率 

我們不傾向重新造輪子， 但希望你具備有如何讓程式碼好維護的開發思維，能寫出簡潔又效能好的程式碼，並具備有以元件化和模組化思維來建構系統的能力。我們希望你跟現有團隊成員一樣，對於學習新技術（知識）充滿熱情，並且喜歡與人合作，分享自己的經驗，成為團隊成長的催化劑

面對用戶，我們是一家 Product-Driven 的公司，我們相信唯有打造好產品、挖掘挑選好商品，才能吸引用戶、留住用戶；團隊內部，我們是一家 Data-Driven 的公司，討論與決策皆基於數據、圍繞於用戶，面向使命與願景，透過數據與技術，讓服務品質不斷升級。我們喜歡永遠不滿足，想把事情做好，不害怕嘗試新挑戰，以成就感為食的人

我們的使命是：為下一代人找到更好的生活方式

【工作內容 】
1. 調整和優化系統，依據需求開發和重構模組
2. 協助數據資料整理及報表建置
3. 第三方 API 串接（金流, 通知, CRM tool... etc.）
4. RESTful API 建置
5. 工程文件撰寫

【工作要求 】
1. 3 年以上工作經驗 或 從無到有完整參與產品開發
2. Django 產品開發經驗2年以上
3. DRF專案經驗，設計過 RESTful API
4. 效能優化經驗
5. PostgreSQL、MySQL語法使用
6. 熟悉 git 版本控制與開發流程
7. 使用過任一種 Cloud Service 架設網站

【加分條件】
1. 熟悉 AWS EC2 / Cache / RDS
2. 串接過金流 / FB API 等第三方工具
3. 良好的 Coding Style
4. 單元測試
5. 有CI/CD 的專案經驗
6. 有敏捷開發經驗


關注我們的LinkedIn ，認識更多面向的我們 : https://tw.linkedin.com/company/morningshop",台北市南港區,"年薪810,000~1,200,000元",//www.104.com.tw/job/6621b?jobsource=jolist_b_relevance
[台南] Python Web Back-End Engineer/ Full-Stack Engineer 後端/全端開發工程師,Linker Networks Inc._美商寶蘊凌科網路科技有限公司台灣分公司," use python/django to build the web app that managing the AI engines. You're welcome to work as a fullstack engineer, our",台南市中西區,待遇面議,//www.104.com.tw/job/74tq5?jobsource=jolist_b_relevance
"科技金融_數據工程師(熟悉後端開發,精通Python)",中國信託商業銀行股份有限公司,"1.負責運用多元數據，加值研發新型態數據產品
2.負責整合內外部數據，提供數據分析人員使用，如：整合政府地理數據、地政數據、商工數據、行內客戶數據、行內交易數據等
3.視專案內容與機器學習以及業務單位共同研發與應用數據產品
4.與IT合作，就數據產品上線提供服務",台北市南港區,待遇面議,//www.104.com.tw/job/78tcd?jobsource=jolist_b_relevance
Quality Assurance Engineer (Python) SQA測試工程師,智雲資訊服務有限公司,"• 依據產品設計需求，獨立建立測試計畫及測試案例。
• 使用網頁瀏覽器 / 手持式裝置進行產品測試。
• 使用自動化測試工具或開發自動化測試。
• 執行軟體測試，完成軟體測試報告 (Test Report)。
• 錯誤追蹤管理及驗證，並提供改善建議 (Test Report)。
• 配合 PM 進行溝通協調進而測試系統功能。
• 主管交辦事項。
",台北市松山區,"月薪40,000~80,000元",//www.104.com.tw/job/7ar21?jobsource=jolist_b_relevance
後端工程師 Python Engineer,全富數位有限公司,"歡迎有一定程度 Python基礎，並具 Web 研發相關知識， 
願意對技術持續精進的熱血工程師投遞。 

職責要求： 
1. 從事 Python Web 相關工作。 
2. 熟悉網路爬蟲技術
3. 持續優化產品的效能和質量
4.",台中市北區,"月薪50,000~120,000元",//www.104.com.tw/job/6izvs?jobsource=jolist_a_relevance
"資料科學工程師（Data Science Python Engineer）-- 資料科學實驗室 (數數發中心, DDT)",國泰金控_國泰金融控股股份有限公司,"與程式開發，依照個人技術能力與發展安排，可能包含但不限如下相關內容：

- 資料 ETL 相關創新技術研究
- 基於 Spark ETL 技術，研發創新產品
- 基於 Python 語言之產品開發，推廣及後續維護
- 與數據分析師合作，進行機器學習",台北市信義區,"月薪30,000~90,000元",//www.104.com.tw/job/6w7ov?jobsource=jolist_a_relevance
[派遣至外商軟體龍頭] Manufacturing Diag Developer/Python Developer - Python工程師 - 105SL,萬寶華企業管理顧問股份有限公司," for mfg test.


Qualification
• 3+ years of demonstrated experience in .NET framework, C#, Python with component extensions",新北市板橋區,待遇面議,//www.104.com.tw/job/6ryg7?jobsource=jolist_a_relevance
(後台系統開發)python軟體工程師,紅石資訊有限公司," 幫助他人共同進步

 任職要求
1. 3年以上Python開發經驗
2. 1年以上運維相關工作經驗
3. 有RESTful API 設計及實作經驗
4. 精通Django、Django Rest Framework、Flask框架
5. 熟悉",台北市內湖區,"月薪60,000元以上",//www.104.com.tw/job/7288s?jobsource=jolist_a_relevance
【RD】Python後端開發工程師 - 2100126~2100128,安碁資訊股份有限公司,"1.​ ​ ​ ​開發REST API，提供第三方服務介接

2.​ ​ ​ ​執行整合日常開發 ( CI/CD)、上線流程自動化等

3.​ ​ ​ ​支援專案類型開發，撰寫專案相關交付文件",台北市信義區,"月薪35,000元以上",//www.104.com.tw/job/77eie?jobsource=jolist_a_relevance
"技術支援類: PDK Application Engineer (歡迎應屆畢業生投遞, 熟悉Script:Python, Perl,TCL尤佳)","Synopsys Taiwan Co., Ltd._台灣新思科技股份有限公司"," Design Automation, or Electrical Engineering)
Experience and proficiency in computer languages: Tcl and/or Python. Perl and",新竹市,待遇面議,//www.104.com.tw/job/6uvvu?jobsource=jolist_a_relevance
Python工程師,艾斯移動股份有限公司,"【工作內容】
1. NLP周邊應用及微服務規劃與開發(例如：標記工具、斷詞器、無意義語句判斷、POS tagger等)
2. 視覺化工具發展
3. 定期舉辦組內技術分享讀書會
4. 參與敏捷開發

【需求條件】
1. Good experiences in flask-api, mongodb, mysql.
2. Well-know nature language process.
3. Strong proactive personality.
4. Strong customer-centric ability",台北市大安區,"月薪50,000~80,000元",//www.104.com.tw/job/6nml7?jobsource=jolist_a_relevance
"軟體開發工程師 Python Software Engineer(數數發中心, DDT)",國泰金控_國泰金融控股股份有限公司,"1. Design, build, and maintain efficient, reusable, and reliable code.
2. Build up a data APIs platform and integrate with open APIs.
3. Maintain existing codebase, to include troubleshooting bugs and add new features.
4. Ensure the best possible performance, quality, and responsiveness of the applications.
5. Work with stakeholders including the Executive, Product, Data and Design teams to assist with data-related technical issues and support their data infrastructure needs.
6. Collaborate with a team to define, design, and ship new features.
7. Participate in an Agile/SCRUM environment/team.",台北市信義區,"月薪30,000~90,000元",//www.104.com.tw/job/73u2r?jobsource=jolist_a_relevance
資深後端工程師 Sr. Back-end Engineer ( Python ),創順科技有限公司,"【 人生苦短，我用 Python 】

職責要求：  
1. 負責以 Python 周邊技術為主的 web 服務的技術選型、架構設計。
2. 處理服務高並發、高可用的調優。
3. 新技術、工具的探索、研究和應用。
4. 實踐微服務架構",台北市內湖區,"月薪80,000~160,000元",//www.104.com.tw/job/5oxur?jobsource=jolist_a_relevance
誠徵Python、Javascript合作教師夥伴,南一書局企業股份有限公司(總公司),"Code Combat來自美國矽谷，是美國大學理事會認可的AP電腦科學原理課程和專業發展的城市教育平台，教材依照國際教學標準而設計，學生透過遊戲畫面與關卡，來學習Python、Javascript等程式碼的編寫。
1.使用Code Combat平",新北市深坑區,"論件計酬3,000~20,000元",//www.104.com.tw/job/79314?jobsource=jolist_a_relevance
"軟體 工程師 (Java, Python, LabVIEW) - 台北或新竹",動力安全資訊股份有限公司,"[About the Job]
IoT物連網是甚麼？智慧建築(Smart Building)、智慧製造(Smart Factory)、智慧機房(Smart Data Center)等熱門新興產業，到底在做甚麼？在動力安全，你將會找到答案。

在動力安全，我們帶領企業客戶邁向以軟體整合應用(Software Defined)為基礎的智慧化轉型（智慧建築、智慧機房、智慧製造、物聯網與工業4.0）。協助客戶提高安全與效率，增強在國際上的競爭能力。若你對智慧產業及IoT物連網有興趣，以及對寫軟體程式、學習新技術充滿熱忱，歡迎你加入動力安全的行列。

[Role and Responsibilities]  
- 設計開發智慧化的應用軟體系統
- 編寫軟體規格文件，測試計劃等
- 需與其它部門協同合作",台北市內湖區,"月薪32,000元以上",//www.104.com.tw/job/44234?jobsource=jolist_a_relevance
python工程師,鈦度科技有限公司,"1. 開發網站(如Django framework) 
2. 系統串連，如以SQLAlchemy連結Relational Database (SQL Server)
3. 需熟悉OOP及MVC觀念及運用。 
4.  開發Restful API。 
5. 熟悉版本控制及testing技術。",台北市內湖區,"年薪750,000~800,000元",//www.104.com.tw/job/6xglu?jobsource=jolist_a_relevance
友善環境農食 Python電子商務工程師(可遠端工作),直接跟農夫買股份有限公司,"
6.物流系統維護與串接
7.在進入下一個規模時，評估程式架構轉移的必要性。
8.以科技幫助內部流程優化


＝必備能力＝
1.3年以上電子商務網站開發與維運經驗
2.具 Python / Django 框架開發經驗
3.熟悉 ubuntu",桃園市桃園區,待遇面議,//www.104.com.tw/job/6b4tp?jobsource=jolist_a_relevance
"資料科學工程師（Data Science Python Backend Engineer）-- 資料科學實驗室  (數數發中心, DDT)",國泰金控_國泰金融控股股份有限公司,"我們 資料科學實驗室 的文化

- 我們樂於互相分享，也樂於互相學習
- 我們有主動發現問題，主動解決問題的特質
- 我們的討論風氣興盛，沒有階級之分

我們 資料科學實驗室 正在尋找後端工程師，加入產品團隊，一同討論產品功能與方向，並且負責產品之系統架構
設計與開發，樂於與產品團隊各角色合作，並保持主動積極的態度讓產品持續進步

- 設計多樣產品、服務的整合軟體框架
- 設計簡單、彈性的 API ，以對應不同的使用者需求
- 設計容易測試、維護的軟體系統",台北市信義區,"月薪30,000~90,000元",//www.104.com.tw/job/6k5ft?jobsource=jolist_a_relevance
Machine Learning Engineer,台灣利優資訊科技有限公司," teamwork with company wide DSP & SW teams
•	Lead ML/DL workflow and SW/HW environment development (Python to edge processor)",台北市大安區,"月薪70,000~100,000元",//www.104.com.tw/job/797zf?jobsource=jolist_a_relevance
Software Design Engineer 軟體設計工程師-TC19528,"Super Micro Computer, Inc._美超微電腦股份有限公司","Summary:
Supermicro Super Cloud Composer (SCC) Storage design and implementation


Essential job duties and responsibility:

Job included but not limited to:
1. Defining, developing, testing, delivering, documenting, and maintaining storage-related software project
2. Building custom Linux based ISO
3. Developing/Configuring Storage service
4. Debugging/troubleshooting potential issues",新北市中和區,待遇面議,//www.104.com.tw/job/6zd5e?jobsource=jolist_a_relevance
【兼職】Python程式設計課程老師,悠實國際數位有限公司,"1.Python課程教學、課程設計規劃、教案製作及相關庶務。
2.對教育有熱忱、有耐心及具控班能力。
3.開朗善溝通、細心負責，能長期配合。
4.上班時間週六日為主，固定時段排課制。
5.須具備程式語言能力，依照能力經驗給薪。
",新北市板橋區,時薪400元以上,//www.104.com.tw/job/75thm?jobsource=jolist_a_relevance
IE工程師-W541100,昇陽國際半導體股份有限公司,"1.Work with Fab to monitor MFG related issues,continuously improve dispatching ,and enhance production/OEE.
2.Cost-based analyze and simulate for new products or mass production, and make cost reduction plan.
3.Responding quickly to handle multiple projects with MFG. PE,EE,PIE and IT team.
4.Well operation on statistics for date mining & date analysis.
5.Well operation on all IE skill&functions.
6.Flexsim must be well operation.",新竹市,"月薪30,000~50,000元",//www.104.com.tw/job/61qm7?jobsource=jolist_a_relevance
經營管理類-品管主任,力成科技股份有限公司,"1.人員效率分析：ECRS人員效率量測、分析、改善
2.人員動態智能排程：VSM分析、Flexsim系統模擬
3.品質數據分析與Tableau資料視覺化建置與持續改善
4.自動化專案改善：異常影像辨識、Python機械學習與深度學習(",新竹縣湖口鄉,"月薪43,000~60,000元",//www.104.com.tw/job/34xws?jobsource=jolist_a_relevance
測試工程師 (高雄),騰雲科技服務股份有限公司,"及完善BUG內容
2. 協助公司行政事務處理、督促環境整潔、資產管理及部門事務協調聯繫
3. 主管交辦事務

技能需求
- 以Python撰寫測試腳本進行自動化測試實務經驗
- 在自動化測試前，妥善進行人工測試
- 具使用者情境模擬經驗並撰寫測試案",高雄市前金區,待遇面議,//www.104.com.tw/job/7atgu?jobsource=jolist_a_relevance
軟體工程師(75),凌群電腦股份有限公司,"規劃、建置、導入公司自有研發產品以及代理之國外軟體
軟體性質為雲端運算自動化、系統監控管理、資訊服務管理等軟體，
會接觸到各式各樣的IT設備以及軟體。
此職缺經常會使用到Python整合IT相關設備，以及Script撰寫和Linux操作。",台北市萬華區,"月薪28,000~50,000元",//www.104.com.tw/job/72ocz?jobsource=jolist_a_relevance
AI軟體工程師,百一電子股份有限公司,"1. machine learning/deep learning dataset 整理與model training based on Python/Tensorflow/Keras
2. Python程式撰寫
3. Chatbot",桃園市中壢區,待遇面議,//www.104.com.tw/job/6vhn2?jobsource=jolist_a_relevance
Junior Software Engineer 初級軟體工程師(台北總公司),山富國際旅行社股份有限公司,"1.	參與設計網頁後端架構
2.	進行網頁後端以及API開發
3.	撰寫技術文件
4.	主要工作語言: Python
",台北市中山區,"月薪40,000元以上",//www.104.com.tw/job/6yzou?jobsource=jolist_a_relevance
【擴編徵才】爬蟲開發工程師,香港商亞思博數位媒體股份有限公司台灣分公司,"悉 Python程式語言
2. 熟悉網路爬蟲相關技能 (Selenium, Beautiful Soup)
3. 熟悉基本html tag, JavaScript
",台北市中山區,待遇面議,//www.104.com.tw/job/6gata?jobsource=jolist_a_relevance
65210-網路軟體工程師(汐止),QNAP_威聯通科技股份有限公司," ability in C or Python is a must
2. Familiar with network is a must
3. Familiar with Linux is preferred
4. Familiar with",新北市汐止區,待遇面議,//www.104.com.tw/job/6an35?jobsource=jolist_a_relevance
【擴編徵才】爬蟲開發工程師,香港商亞思博數位媒體股份有限公司台灣分公司,"悉 Python程式語言
2. 熟悉網路爬蟲相關技能 (Selenium, Beautiful Soup)
3. 熟悉基本html tag, JavaScript
",台北市中山區,待遇面議,//www.104.com.tw/job/76bka?jobsource=jolist_a_relevance
【MFG】生產測試軟體開發工程師 (PE),喬鼎資訊股份有限公司,"1. 測試軟體與測試程式開發與維護。
2. 系統產品測試程式自動化整合。
3. 生產測試良率的提升與改善。",新竹縣寶山鄉,"月薪35,000~65,000元",//www.104.com.tw/job/7994t?jobsource=jolist_a_relevance
網路系統工程師 【台中市南區】,全誼資訊股份有限公司,"1.建置、維護Linux、Tomcat、Jetty、Apache、資料庫系統(DB2、PostgreSQL)。
2.創新設計Bash Shell, perl, python等系統端語言，提升系統監控、維護穩定性。
3.主要工作維護客戶系統穩定服務",台中市南區,"月薪42,000~45,000元",//www.104.com.tw/job/5ngf2?jobsource=jolist_a_relevance
(總部)S8600-Marketing Intern,友通資訊股份有限公司," Python / Javascirpt
•	具電腦零組件組裝知識
•	Linkedin 廣告操作經驗
",新北市汐止區,時薪160元,//www.104.com.tw/job/7asjb?jobsource=jolist_a_relevance
Product Engineer/Testing Engineer,優達科技股份有限公司,"工作職責：
1. 設計與優化產品生產測試流程與方式
2. 熟悉工廠生產與測試流程
3. 熟悉網通產品的功能與應用
4. 熟悉Python/C語言相關開發技術
5. 測試報告與技術文件撰寫",新北市土城區,待遇面議,//www.104.com.tw/job/6x3mc?jobsource=jolist_a_relevance
軟體工程師-新竹(M6-4582),帆宣系統科技股份有限公司,"1.巨量資料系統分析開發
2.客製化網路平台開發
3.具系統分析與系統設計能力
4.具備C# python R相關系統開發經驗尤佳",新竹市,待遇面議,//www.104.com.tw/job/6qfxb?jobsource=jolist_a_relevance
程式設計師,好物有限公司,"1.電子商務網站/電子發票平台開發、維護
2.金物流系統串接
3.簡易網站套版開發
4.App伺服器端服務開發
5.API串接
6.熟python, django佳
7.完成主管交付任務",新北市板橋區,"月薪33,000~39,000元",//www.104.com.tw/job/4fa2t?jobsource=jolist_a_relevance
